clock_model,initial_position_sigma_m,initial_clock_bias_sigma_m,initial_clock_drift_sigma_m_per_s,bias_rw_density_m_per_sqrt_s,drift_rw_density_m_per_s_per_sqrt_s,range_sigma_m,prior_weak_std_m,posterior_weak_std_m,relative_variance_reduction,prior_absolute_std_m,posterior_absolute_std_m,absolute_relative_variance_reduction,prior_relative_displacement_std_m,posterior_relative_displacement_std_m,relative_displacement_variance_reduction
random_walk,0.1,0.1,1.0,1.0,0.1,10.0,3.001666203961,2.843168122069,0.102818538252,3.001666203961,2.843168122069,0.102818538252,3.0,2.841911923185,0.102615180095
random_walk,0.1,1.0,1.0,1.0,0.1,10.0,3.001666203961,2.849815892274,0.098618133201,3.001666203961,2.849815892274,0.098618133201,3.0,2.848529209647,0.098431260199
random_walk,0.1,10.0,1.0,1.0,0.1,10.0,3.001666203961,2.929609743516,0.047434711509,3.001666203961,2.929609743516,0.047434711509,3.0,2.927962014189,0.047448715941
random_walk,0.1,100.0,1.0,1.0,0.1,10.0,3.001666203961,2.941270030024,0.039836915703,3.001666203961,2.941270030024,0.039836915703,3.0,2.939570266216,0.039880738886
random_walk,0.1,1000000.0,1.0,1.0,0.1,10.0,3.001666203961,2.94140387191,0.039749529668,3.001666203961,2.94140387191,0.039749529668,3.0,2.939703511868,0.039793695813
random_walk,1.0,0.1,1.0,1.0,0.1,10.0,3.162277660167,2.968840640819,0.118598524941,3.162277660167,2.968840640819,0.118598524941,2.999999999999,2.848529209647,0.098431260198
random_walk,1.0,1.0,1.0,1.0,0.1,10.0,3.162277660167,2.977533621998,0.113429352987,3.162277660167,2.977533621998,0.113429352987,2.999999999999,2.854307522127,0.094769841014
random_walk,1.0,10.0,1.0,1.0,0.1,10.0,3.162277660167,3.087833402114,0.046528488078,3.162277660167,3.087833402114,0.046528488078,2.999999999999,2.928063422094,0.04738273291
random_walk,1.0,100.0,1.0,1.0,0.1,10.0,3.162277660167,3.104936068539,0.035937201028,3.162277660167,3.104936068539,0.035937201028,2.999999999999,2.939570279388,0.039880730282
random_walk,1.0,1000000.0,1.0,1.0,0.1,10.0,3.162277660167,3.105133932326,0.035814326231,3.162277660167,3.105133932326,0.035814326231,2.999999999999,2.939703511868,0.039793695812
random_walk,10.0,0.1,1.0,1.0,0.1,10.0,10.440306508837,7.821928548236,0.438692053077,10.440306508837,7.821928548236,0.438692053077,3.0,2.927962014188,0.047448715941
random_walk,10.0,1.0,1.0,1.0,0.1,10.0,10.440306508837,7.848034479479,0.434939034936,10.440306508837,7.848034479479,0.434939034936,3.0,2.928063422094,0.04738273291
random_walk,10.0,10.0,1.0,1.0,0.1,10.0,10.440306508837,9.130861937726,0.235113397,10.440306508837,9.130861937726,0.235113397,3.0,2.933457720595,0.043869533498
random_walk,10.0,100.0,1.0,1.0,0.1,10.0,10.440306508837,10.397477853266,0.008187654031,10.440306508837,10.397477853266,0.008187654031,3.0,2.939571583571,0.03987987834
random_walk,10.0,1000000.0,1.0,1.0,0.1,10.0,10.440306508837,10.423140444827,0.003285718036,10.440306508837,10.423140444827,0.003285718036,3.0,2.939703511868,0.039793695812
bias_drift,0.1,0.1,1.0,1.0,0.1,10.0,3.001666203961,2.947600120477,0.035699614846,3.001666203961,2.947600120477,0.035699614846,3.0,2.946072747438,0.035628374089
bias_drift,0.1,1.0,1.0,1.0,0.1,10.0,3.001666203961,2.948405636536,0.035172497496,3.001666203961,2.948405636536,0.035172497496,3.0,2.946871707366,0.035105237814
bias_drift,0.1,10.0,1.0,1.0,0.1,10.0,3.001666203961,2.963457003931,0.025296624401,3.001666203961,2.963457003931,0.025296624401,3.0,2.961800875518,0.025303952643
bias_drift,0.1,100.0,1.0,1.0,0.1,10.0,3.001666203961,2.967056107286,0.022927642199,3.001666203961,2.967056107286,0.022927642199,3.0,2.965370843511,0.022952862273
bias_drift,0.1,1000000.0,1.0,1.0,0.1,10.0,3.001666203961,2.967100811529,0.022898199137,3.001666203961,2.967100811529,0.022898199137,3.0,2.96541518607,0.022923641581
bias_drift,1.0,0.1,1.0,1.0,0.1,10.0,3.162277660167,3.093179335862,0.043224159619,3.162277660167,3.093179335862,0.043224159619,2.999999999999,2.946871707366,0.035105237813
bias_drift,1.0,1.0,1.0,1.0,0.1,10.0,3.162277660167,3.094623312415,0.042330655425,3.162277660167,3.094623312415,0.042330655425,2.999999999999,2.947607281152,0.034623479566
bias_drift,1.0,10.0,1.0,1.0,0.1,10.0,3.162277660167,3.122481801522,0.025010739916,3.162277660167,3.122481801523,0.025010739916,2.999999999999,2.961829741526,0.025284953579
bias_drift,1.0,100.0,1.0,1.0,0.1,10.0,3.162277660167,3.129400155126,0.020685466909,3.162277660167,3.129400155126,0.020685466909,2.999999999999,2.965370847891,0.022952859386
bias_drift,1.0,1000000.0,1.0,1.0,0.1,10.0,3.162277660167,3.129486735196,0.020631277423,3.162277660167,3.129486735196,0.020631277423,2.999999999999,2.96541518607,0.02292364158
bias_drift,10.0,0.1,1.0,1.0,0.1,10.0,10.440306508837,8.140636111739,0.392018749498,10.440306508837,8.140636111739,0.392018749498,3.0,2.961800875517,0.025303952643
bias_drift,10.0,1.0,1.0,1.0,0.1,10.0,10.440306508837,8.161456388313,0.388904858906,10.440306508837,8.161456388313,0.388904858906,3.0,2.961829741526,0.025284953579
bias_drift,10.0,10.0,1.0,1.0,0.1,10.0,10.440306508837,9.23765007996,0.217117623844,10.440306508837,9.23765007996,0.217117623844,3.0,2.963421786968,0.024236812502
bias_drift,10.0,100.0,1.0,1.0,0.1,10.0,10.440306508837,10.405614939683,0.006634658032,10.440306508837,10.405614939683,0.006634658032,3.0,2.965371281507,0.022952573646
bias_drift,10.0,1000000.0,1.0,1.0,0.1,10.0,10.440306508837,10.430421238897,0.001892777776,10.440306508837,10.430421238897,0.001892777776,3.0,2.96541518607,0.02292364158
