clock_model,strong_to_weak_ratio,range_information,angle_degrees,prior_weak_variance,posterior_weak_variance,relative_variance_reduction
random_walk,10.0,10.0,90.0,4.01,4.01,0.0
random_walk,100.0,0.1,0.0,4.01,2.348347500305,0.414377181969
random_walk,100.0,0.1,15.0,4.01,2.412490165115,0.398381504959
random_walk,100.0,0.1,30.0,4.01,2.609239328041,0.3493168758
random_walk,100.0,0.1,45.0,4.01,2.943507361787,0.265958263893
random_walk,100.0,0.1,60.0,4.01,3.388116605081,0.155083140877
random_walk,100.0,0.1,75.0,4.01,3.820199503293,0.04733179469
random_walk,100.0,0.1,90.0,4.01,4.01,0.0
random_walk,100.0,1.0,0.0,4.01,0.617655571635,0.845971179143
random_walk,100.0,1.0,15.0,4.01,0.65192296961,0.837425693364
random_walk,100.0,1.0,30.0,4.01,0.769054949557,0.808215723303
random_walk,100.0,1.0,45.0,4.01,1.025676770532,0.744220256725
random_walk,100.0,1.0,60.0,4.01,1.580212427006,0.605932063091
random_walk,100.0,1.0,75.0,4.01,2.786924925242,0.305006253057
random_walk,100.0,1.0,90.0,4.01,4.01,0.0
random_walk,100.0,10.0,0.0,4.01,0.091607978092,0.977155117683
random_walk,100.0,10.0,15.0,4.01,0.101092774351,0.974789831833
random_walk,100.0,10.0,30.0,4.01,0.134904633754,0.966357946695
random_walk,100.0,10.0,45.0,4.01,0.216562335008,0.945994430173
random_walk,100.0,10.0,60.0,4.01,0.432488060567,0.892147615819
random_walk,100.0,10.0,75.0,4.01,1.229893122613,0.693293485633
random_walk,100.0,10.0,90.0,4.01,4.01,0.0
random_walk,1000.0,0.1,0.0,4.01,2.348347500305,0.414377181969
random_walk,1000.0,0.1,15.0,4.01,2.412048028571,0.398491763449
random_walk,1000.0,0.1,30.0,4.01,2.607656169273,0.349711678486
random_walk,1000.0,0.1,45.0,4.01,2.940741115709,0.266648100821
random_walk,1000.0,0.1,60.0,4.01,3.385279408625,0.155790671166
random_walk,1000.0,0.1,75.0,4.01,3.818966798089,0.047639202472
random_walk,1000.0,0.1,90.0,4.01,4.01,0.0
random_walk,1000.0,1.0,0.0,4.01,0.617655571635,0.845971179143
random_walk,1000.0,1.0,15.0,4.01,0.650059186904,0.837890477081
