initial_clock_drift_sigma_m_per_s,fixed_initial_position_sigma_m,fixed_initial_clock_bias_sigma_m,fixed_bias_rw_density_m_per_sqrt_s,fixed_drift_rw_density_m_per_s_per_sqrt_s,fixed_range_sigma_m,fixed_time_step_s,prior_absolute_std_m,posterior_absolute_std_m,absolute_relative_variance_reduction,prior_relative_displacement_std_m,posterior_relative_displacement_std_m,relative_displacement_variance_reduction
0.01,1.0,10.0,1.0,0.1,10.0,1.0,3.162277660167,3.089347684265,0.045593088572,2.999999999999,2.929570993975,0.046401532362
0.1,1.0,10.0,1.0,0.1,10.0,1.0,3.162277660167,3.089947929109,0.045222179539,2.999999999999,2.930155462602,0.046020996109
1.0,1.0,10.0,1.0,0.1,10.0,1.0,3.162277660167,3.122481801523,0.025010739916,2.999999999999,2.961829741526,0.025284953579
10.0,1.0,10.0,1.0,0.1,10.0,1.0,3.162277660167,3.16085341798,0.000900567004,2.999999999999,2.999176412081,0.000548983246
1000000.0,1.0,10.0,1.0,0.1,10.0,1.0,3.162277660167,3.161699744548,0.000365472532,2.999999999999,3.0,-0.0
